ID,Build Version,Expected Result,Actual Result,Test Status,Browser Name
01-38,1,9,9,PASS,Google Chrome
01-38,1,9,9,PASS,Firefox
01-38,1,9,9,PASS,Microsoft Edge
01-39,1,0,0,PASS,Google Chrome
01-39,1,0,0,PASS,Firefox
01-39,1,0,0,PASS,Microsoft Edge
01-40,1,0,0,PASS,Google Chrome
01-40,1,0,0,PASS,Firefox
01-40,1,0,0,PASS,Microsoft Edge
01-41,1,NONE,NONE,PASS,Google Chrome
01-41,1,NONE,NONE,PASS,Firefox
01-41,1,NONE,NONE,PASS,Microsoft Edge
01-42,1,0.02,0.02,PASS,Google Chrome
01-42,1,0.02,0.02,PASS,Firefox
01-42,1,0.02,0.02,PASS,Microsoft Edge
01-43,1,500,500,PASS,Google Chrome
01-43,1,500,500,PASS,Firefox
01-43,1,500,500,PASS,Microsoft Edge
01-44,1,-39999999996,-39999999996,PASS,Google Chrome
01-44,1,-39999999996,-39999999996,PASS,Firefox
01-44,1,-39999999996,-39999999996,PASS,Microsoft Edge
01-45,1,NONE,NONE,PASS,Google Chrome
01-45,1,NONE,NONE,PASS,Firefox
01-45,1,NONE,NONE,PASS,Microsoft Edge
01-46,1,0,0,PASS,Google Chrome
01-46,1,0,0,PASS,Firefox
01-46,1,0,0,PASS,Microsoft Edge
01-47,1,0,0,PASS,Google Chrome
01-47,1,0,0,PASS,Firefox
01-47,1,0,0,PASS,Microsoft Edge
01-48,1,1,1,PASS,Google Chrome
01-48,1,1,1,PASS,Firefox
01-48,1,1,1,PASS,Microsoft Edge
01-49,1,-1,-10.000000009,FAIL,Google Chrome
01-49,1,-1,-10.000000009,FAIL,Firefox
01-49,1,-1,-10.000000009,FAIL,Microsoft Edge
01-50,1,9999999990,99999999990,FAIL,Google Chrome
01-50,1,9999999990,99999999990,FAIL,Firefox
01-50,1,9999999990,99999999990,FAIL,Microsoft Edge
01-51,1,,NONE,FAIL,Google Chrome
01-51,1,,NONE,FAIL,Firefox
01-51,1,,NONE,FAIL,Microsoft Edge
01-52,1,A1,A1,PASS,Google Chrome
01-52,1,A1,A1,PASS,Firefox
01-52,1,A1,A1,PASS,Microsoft Edge
01-53,1,10.1,10.1,PASS,Google Chrome
01-53,1,10.1,10.1,PASS,Firefox
01-53,1,10.1,10.1,PASS,Microsoft Edge
01-54,1,10000000000.1,10000000000.1,PASS,Google Chrome
01-54,1,10000000000.1,10000000000.1,PASS,Firefox
01-54,1,10000000000.1,10000000000.1,PASS,Microsoft Edge
01-55,1,1,1,PASS,Google Chrome
01-55,1,1,1,PASS,Firefox
01-55,1,1,1,PASS,Microsoft Edge
01-56,1,0.1111,0.1111,PASS,Google Chrome
01-56,1,0.1111,0.1111,PASS,Firefox
01-56,1,0.1111,0.1111,PASS,Microsoft Edge
01-57,1,ASDASD,ASDASD,PASS,Google Chrome
01-57,1,ASDASD,ASDASD,PASS,Firefox
01-57,1,ASDASD,ASDASD,PASS,Microsoft Edge
01-58,1,99999999990.00000001,99999999990.00000001,PASS,Google Chrome
01-58,1,99999999990.00000001,99999999990.00000001,PASS,Firefox
01-58,1,99999999990.00000001,99999999990.00000001,PASS,Microsoft Edge
01-59,1,0.11,0.11,PASS,Google Chrome
01-59,1,0.11,0.11,PASS,Firefox
01-59,1,0.11,0.11,PASS,Microsoft Edge
01-60,1,.1.2.0,.1.2.0,PASS,Google Chrome
01-60,1,.1.2.0,.1.2.0,PASS,Firefox
01-60,1,.1.2.0,.1.2.0,PASS,Microsoft Edge
02-01,2,2,11,FAIL,Google Chrome
02-01,2,2,11,FAIL,Firefox
02-01,2,2,11,FAIL,Microsoft Edge
02-02,2,0.3,0.10.2,FAIL,Google Chrome
02-02,2,0.3,0.10.2,FAIL,Firefox
02-02,2,0.3,0.10.2,FAIL,Microsoft Edge
02-03,2,NONE,NONE,PASS,Google Chrome
02-03,2,NONE,NONE,PASS,Firefox
02-03,2,NONE,NONE,PASS,Microsoft Edge
02-04,2,NONE,999,FAIL,Google Chrome
02-04,2,NONE,999,FAIL,Firefox
02-04,2,NONE,999,FAIL,Microsoft Edge
02-05,2,10,100,FAIL,Google Chrome
02-05,2,10,100,FAIL,Firefox
02-05,2,10,100,FAIL,Microsoft Edge
02-06,2,10.1,100.1,FAIL,Google Chrome
02-06,2,10.1,100.1,FAIL,Firefox
02-06,2,10.1,100.1,FAIL,Microsoft Edge
02-07,2,0,0,PASS,Google Chrome
02-07,2,0,0,PASS,Firefox
02-07,2,0,0,PASS,Microsoft Edge
02-08,2,1999999998,1000000000000000000,FAIL,Google Chrome
02-08,2,1999999998,1000000000000000000,FAIL,Firefox
02-08,2,1999999998,1000000000000000000,FAIL,Microsoft Edge
02-09,2,9999999999,99999999990,FAIL,Google Chrome
02-09,2,9999999999,99999999990,FAIL,Firefox
