ID,Build Version,Expected Result,Actual Result,Test Status,Browser Name
03-57,3,ASDASD,NONE,FAIL,Firefox
03-57,3,ASDASD,NONE,FAIL,Microsoft Edge
03-58,3,99999999990.00000001,99999999990.00000001,PASS,Google Chrome
03-58,3,99999999990.00000001,99999999990.00000001,PASS,Firefox
03-58,3,99999999990.00000001,99999999990.00000001,PASS,Microsoft Edge
03-59,3,0.11,0.11,PASS,Google Chrome
03-59,3,0.11,0.11,PASS,Firefox
03-59,3,0.11,0.11,PASS,Microsoft Edge
03-60,3,.1.2.0,NONE,FAIL,Google Chrome
03-60,3,.1.2.0,NONE,FAIL,Firefox
03-60,3,.1.2.0,NONE,FAIL,Microsoft Edge
04-01,4,2,2,PASS,Google Chrome
04-01,4,2,2,PASS,Firefox
04-01,4,2,2,PASS,Microsoft Edge
04-02,4,0.3,0,FAIL,Google Chrome
04-02,4,0.3,0,FAIL,Firefox
04-02,4,0.3,0,FAIL,Microsoft Edge
04-03,4,NONE,NONE,PASS,Google Chrome
04-03,4,NONE,NONE,PASS,Firefox
04-03,4,NONE,NONE,PASS,Microsoft Edge
04-04,4,NONE,NONE,PASS,Google Chrome
04-04,4,NONE,NONE,PASS,Firefox
04-04,4,NONE,NONE,PASS,Microsoft Edge
04-05,4,10,10,PASS,Google Chrome
04-05,4,10,10,PASS,Firefox
04-05,4,10,10,PASS,Microsoft Edge
04-06,4,10.1,10,FAIL,Google Chrome
04-06,4,10.1,10,FAIL,Firefox
04-06,4,10.1,10,FAIL,Microsoft Edge
04-07,4,0,0,PASS,Google Chrome
04-07,4,0,0,PASS,Firefox
04-07,4,0,0,PASS,Microsoft Edge
04-08,4,1999999998,1999999998,PASS,Google Chrome
04-08,4,1999999998,1999999998,PASS,Firefox
04-08,4,1999999998,1999999998,PASS,Microsoft Edge
04-09,4,9999999999,9999999999,PASS,Google Chrome
04-09,4,9999999999,9999999999,PASS,Firefox
04-09,4,9999999999,9999999999,PASS,Microsoft Edge
04-10,4,9999999999.1,9999999999,FAIL,Google Chrome
04-10,4,9999999999.1,9999999999,FAIL,Firefox
